,GeoID,SE_Unemploy,SE_Insurance,SE_Poverty,SE_English
504,36047022100,6.5,90.9,27.2,2.1
505,36047022200,2.6,97.7,32.0,20.0
506,36047022400,2.0,93.4,21.4,22.1
507,36047022600,6.3,81.9,20.2,35.8
508,36047022700,6.2,98.5,12.1,1.9
509,36047022800,5.1,93.2,37.1,27.9
510,36047022900,5.8,94.3,13.9,0.7
511,36047023000,3.7,95.3,23.0,23.8
512,36047023100,2.8,95.2,8.3,4.0
513,36047023200,3.0,98.6,43.6,16.2
514,36047023300,8.2,95.6,24.2,5.7
515,36047023400,4.3,98.9,40.7,20.5
516,36047023500,2.5,94.2,21.3,12.4
517,36047023600,4.6,98.2,50.1,26.7
518,36047023800,5.1,98.5,22.8,24.1
519,36047024000,4.6,93.3,35.7,23.1
520,36047024100,8.1,89.2,22.8,14.6
521,36047024200,6.7,96.2,15.8,17.0
522,36047024300,10.7,90.3,20.2,7.1
523,36047024400,4.2,92.9,25.9,18.3
524,36047024500,4.0,93.0,9.0,3.6
525,36047024600,7.9,88.2,12.4,36.4
526,36047024700,6.8,93.9,26.3,6.9
527,36047024800,3.6,88.4,11.9,48.1
528,36047024900,7.0,92.9,15.2,2.4
529,36047025000,4.8,84.1,14.0,45.5
530,36047025100,9.4,91.1,28.0,1.1
531,36047025200,13.7,88.4,14.5,37.8
532,36047025300,8.5,87.4,18.4,2.7
533,36047025400,10.5,92.1,26.0,38.0
534,36047025500,13.3,95.1,37.4,24.5
535,36047025600,9.0,89.8,23.4,49.9
536,36047025700,7.3,87.4,25.5,7.9
537,36047025800,6.6,90.0,12.6,39.4
538,36047025901,10.3,88.6,20.4,6.6
539,36047025902,19.9,98.6,58.7,18.5
540,36047026000,5.5,93.4,11.3,47.7
541,36047026100,4.6,92.0,24.6,2.7
542,36047026200,6.4,92.7,11.0,36.0
543,36047026300,10.7,91.7,25.4,6.0
544,36047026400,5.8,91.1,16.9,45.8
545,36047026500,5.8,90.9,15.3,3.9
546,36047026600,2.0,91.9,10.2,49.6
547,36047026700,10.9,92.9,12.6,1.7
548,36047026800,5.0,95.5,13.0,41.4
549,36047026900,9.3,92.8,19.9,0.6
550,36047027000,3.8,93.5,20.3,30.6
551,36047027100,9.6,91.3,13.7,5.0
552,36047027200,6.7,85.9,13.8,39.6
553,36047027300,3.1,87.7,14.0,3.9
554,36047027400,3.9,89.4,12.8,35.1
555,36047027500,3.8,90.5,17.5,3.2
556,36047027600,5.9,74.6,14.8,52.7
557,36047027700,11.8,89.9,21.7,3.2
558,36047027800,10.3,87.7,12.0,38.2
559,36047027900,4.7,96.6,15.1,3.9
560,36047028000,3.4,90.3,15.5,43.1
561,36047028100,9.0,92.1,32.4,8.5
562,36047028200,2.3,93.2,16.3,42.7
563,36047028300,17.2,90.0,30.6,11.2
564,36047028400,8.5,93.9,13.0,46.9
565,36047028501,6.6,78.0,24.0,12.8
566,36047028502,15.3,98.8,37.2,14.7
567,36047028600,5.5,88.4,19.1,51.2
568,36047028700,3.5,88.2,22.2,13.4
569,36047028800,3.0,81.4,15.2,55.5
570,36047028900,6.8,93.6,29.0,10.3
571,36047029000,1.3,91.6,15.9,44.4
572,36047029100,4.1,94.3,8.0,6.5
573,36047029200,7.7,90.1,19.7,43.9
574,36047029300,15.5,95.7,26.1,8.7
575,36047029400,8.7,88.7,23.9,29.3
