,GeoID,E_Advance,E_PreS
773,36047053900,8.3,100.0
774,36047054200,48.6,67.9
775,36047054400,41.1,88.2
776,36047054500,10.8,89.1
777,36047054600,53.9,72.8
778,36047054700,35.9,84.2
779,36047054800,58.2,55.4
780,36047054900,65.1,93.5
781,36047055000,44.8,65.9
782,36047055100,58.4,83.2
783,36047055200,38.3,67.5
784,36047055300,76.2,100.0
785,36047055400,46.1,23.8
786,36047055500,78.7,100.0
787,36047055600,41.2,77.0
788,36047055700,66.7,100.0
789,36047055800,46.1,50.0
790,36047056000,43.1,19.2
791,36047056100,67.6,86.7
792,36047056200,48.4,79.2
793,36047056300,53.9,100.0
794,36047056400,40.7,25.4
795,36047056500,64.4,62.7
796,36047056600,43.2,38.9
797,36047056800,38.5,20.0
798,36047056900,69.8,0.0
799,36047057000,33.8,60.5
800,36047057100,55.2,100.0
801,36047057200,13.7,65.1
802,36047057300,58.1,100.0
803,36047057400,42.2,27.5
804,36047057500,57.4,100.0
805,36047057600,30.9,65.9
806,36047057800,27.6,59.4
807,36047058000,26.1,42.4
808,36047058200,27.1,21.4
809,36047058400,41.7,53.3
810,36047058600,34.5,57.5
811,36047058800,57.9,32.7
812,36047058900,49.6,71.4
813,36047059000,37.3,62.7
814,36047059100,57.0,65.5
815,36047059200,36.7,59.5
816,36047059300,53.7,56.8
817,36047059401,43.3,100.0
818,36047059402,51.7,79.4
819,36047059600,46.3,100.0
820,36047060000,51.5,65.9
821,36047060600,48.3,35.7
822,36047060800,45.9,11.8
823,36047061002,62.1,55.2
824,36047061003,35.6,70.5
825,36047061004,53.7,12.1
826,36047061200,51.0,100.0
827,36047062000,68.9,38.8
828,36047062200,43.0,79.1
829,36047062600,35.4,19.4
830,36047062800,27.8,83.1
831,36047063200,40.1,0.0
832,36047063600,41.4,36.0
833,36047063800,42.1,63.6
834,36047064000,49.9,41.1
835,36047064200,45.5,25.0
836,36047064400,45.0,47.5
837,36047064600,47.8,87.2
838,36047064800,41.6,72.7
839,36047065000,39.8,28.1
840,36047065200,43.3,0.0
841,36047065400,42.2,36.4
842,36047065600,30.7,30.8
843,36047065800,51.7,86.8
844,36047066000,35.3,53.8
845,36047066200,29.4,41.2
846,36047067000,35.1,54.9
847,36047067200,20.8,100.0
848,36047067400,35.2,75.0
849,36047067600,37.0,0.0
850,36047067800,31.2,82.8
851,36047068000,24.5,85.5
852,36047068200,38.1,100.0
853,36047068600,30.5,100.0
854,36047068800,29.9,100.0
855,36047069200,39.0,67.6
856,36047069601,37.7,100.0
857,36047069602,35.8,85.0
858,36047069800,30.9,51.0
859,36047070000,37.0,0.0
860,36047070201,48.7,71.3
861,36047070600,41.9,83.2
862,36047072000,32.6,48.2
