GeoID,SE_Unemploy,SE_Insurance,SE_Poverty,SE_English,E_Advance,E_PreS,NE_Tem,NE_Ozone,NE_PM25,N_HFood,N_TreeD,N_LandUseMix,T_WalkVSDrive,T_Transit,T_NodeD,MH,PH
36047029800,2.3,91.2,14.9,41.5,27.1,62.9,95.25530612244908,41.4437464052288,8.71396904109589,0.0,5.326315602177701,0.5372467097995517,9.210267541386948e-05,0.0135021522733387,799.6875,87.1,88.5
36047029900,4.6,94.3,22.3,5.9,20.4,100.0,95.9252439024391,41.5467307189543,8.95008575342466,0.0,6.188250058556643,0.404035583141956,0.0001512584750026,0.0308646762310973,1596.0,83.9,87.1
36047030000,5.3,85.7,14.6,42.7,26.2,86.7,93.425,41.4431928104575,8.70139835616438,0.0,5.249315315303825,0.4318308150453415,8.01074591186513e-05,0.0118711385701676,951.818181818182,86.2,86.5
36047030100,12.2,92.0,20.6,3.1,27.0,37.9,94.46409090909098,41.6014954248366,8.90098931506849,0.0,5.491206436788102,0.5003446093138596,0.0001355170827791,0.0256136363636363,1782.25,84.7,87.1
36047030200,2.3,93.1,14.2,42.6,31.3,54.8,92.974425531915,41.4570928104575,8.69354219178082,0.0,4.944077401312988,0.269374081940647,7.44235967305141e-05,0.0098006644518272,940.0,87.8,88.3
36047030300,9.9,98.0,22.8,7.2,20.0,100.0,95.63909747292423,41.5764019607843,8.90345835616438,0.0,8.031166123770268,0.4585563388834683,0.0001020995800471,0.0164958415294889,1598.0,82.8,85.6
36047030400,6.7,90.2,19.3,41.6,27.7,33.8,93.83972972972984,41.4510869281046,8.68672520547945,0.0029061913875389,3.8338542853232926,0.4305432820959908,6.539233126948033e-05,0.0073364651734191,903.2592592592592,87.3,86.7
36047030500,3.0,97.4,12.8,7.3,64.3,100.0,94.48504132231416,41.4504111111111,9.055007397260272,0.0,5.034760042799938,0.579874853327223,7.449108420309669e-05,0.0162892212811117,1369.1666666666667,88.2,92.3
36047030600,10.4,92.5,19.5,41.6,23.3,60.0,95.98333333333336,41.4341568627451,8.67196054794521,0.0,4.137209204510421,0.647759489644775,0.0001618795209473,0.0189526184538653,1062.1666666666667,86.5,87.2
36047030700,10.4,95.7,42.1,4.2,16.4,100.0,95.94731958762895,41.5377816993464,8.94721945205479,0.0,3.66390234391699,0.3690067470805689,0.0001172070318395,0.0169894366197183,1376.8,79.6,79.2
36047030800,8.7,93.3,11.8,35.8,31.5,27.8,97.64113513513526,41.4207006535948,8.6334402739726,0.0,0.7811321050165069,0.58654738367923,0.0001620380470253,0.0188985804686163,1458.0833333333333,87.0,87.0
36047030900,12.5,92.8,14.0,9.0,25.3,100.0,96.6748780487806,41.501839869281,8.98192191780822,0.0,5.378532148045776,0.547131015931129,0.0002428594400927,0.0441439973937123,1138.142857142857,83.0,84.7
36047031100,12.7,92.7,24.7,5.5,31.4,45.8,94.18006134969332,41.4877960784314,9.0093602739726,0.0,5.432725262095315,0.4369396444714123,0.0001338975392685,0.030905596736871,930.6666666666666,84.0,86.3
36047031300,3.3,92.4,20.8,0.9,42.4,100.0,93.25873684210524,41.4770405228758,9.023479178082193,0.0,4.849346964057608,0.131446836777324,8.22529730974449e-05,0.0199225473321858,929.9,86.7,88.0
36047031400,6.1,92.7,9.7,40.5,31.3,100.0,90.22355048859944,41.4432535947712,8.64665753424658,0.0,4.674656075362487,0.3266222904559992,8.446455327952976e-05,0.005132356639839,1026.678571428571,88.2,87.8
36047031500,3.3,95.4,15.1,5.6,57.7,53.0,92.58020618556704,41.4674529411765,9.04719534246575,0.0,5.635469604567635,0.268771522894977,6.870862652237484e-05,0.0169565217391304,993.125,87.7,90.0
36047031701,8.9,92.9,10.3,1.8,44.6,82.4,91.26299363057323,41.4527418300654,9.03421616438356,0.0,5.9941207985849205,0.4495596724592787,0.0001169241514127,0.0255850082532284,1098.0,88.0,90.8
36047031702,6.4,96.0,9.3,1.3,58.9,73.5,90.34464968152872,41.4560784313725,9.029693150684928,0.0,7.984208161382499,0.45718700198557,0.0001142770364067,0.0244325503023094,1197.3333333333333,88.9,91.9
36047031900,3.6,94.9,9.6,1.6,43.9,100.0,91.52408284023676,41.4462503267974,9.012710684931513,0.0,5.232719026596717,0.4149591557085667,0.0001040751666685,0.0209877423033067,1075.875,87.0,88.8
36047032100,6.1,91.7,15.5,4.5,41.6,38.3,91.41415730337084,41.4365647058824,9.014955068493148,0.0,7.172273114897845,0.2612482075799774,7.979042657058778e-05,0.0145970805838832,1292.5,86.8,88.2
36047032300,4.8,95.9,16.3,4.9,43.3,100.0,94.4538743455498,41.443737254902,9.02020410958904,0.0,6.149497186749651,0.3869430734354546,0.0001048483785318,0.0192271618833239,1380.888888888889,87.0,88.7
36047032500,3.1,91.7,14.3,11.4,30.9,100.0,94.07580645161292,41.4360130718954,9.01651780821918,0.0,6.346245552493785,0.3468737999165583,6.212632798585458e-05,0.0098137615702018,1474.7142857142858,84.9,86.5
36047032600,23.4,93.6,41.9,24.0,20.0,76.2,94.5814754098362,41.4246980392157,8.60432136986301,0.0,3.639581793639247,0.3662122775390496,6.033285219035286e-05,0.0038690778556673,1077.5882352941176,82.6,82.2
36047032700,8.5,90.6,14.5,4.3,47.2,100.0,93.83895522388066,41.4428509803922,9.00276849315068,0.0,5.054233902056216,0.5730100308937827,0.0001275769023085,0.0190274841437632,1453.2727272727273,87.1,88.8
36047032800,17.7,88.6,13.4,41.7,23.3,48.1,93.41896551724142,41.449607843137294,8.61954082191781,0.0,4.603789753307648,0.657716624414175,0.0001273438057776,0.0045251752708731,701.8,85.8,85.7
36047032900,7.5,95.7,24.6,5.7,29.7,79.1,92.24494117647065,41.434542483660096,8.98915561643836,0.0,6.416754850535802,0.2551575794679983,6.286561496390876e-05,0.012679644890322,922.7777777777778,84.1,85.0
36047033000,15.8,96.6,32.6,23.8,19.4,20.0,90.96405541561718,41.4589444444444,8.62564438356164,0.0,4.305956561024696,0.281532938669784,0.0001070104731909,0.0028340963592762,624.9,82.5,82.4
